Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	450	39513	47	4129	47.0	75.0	4129.0	6585.5	telnet
39	3314	0	0	0.0	0.0	0.0	0.0	37	2458	37	2458	0.0	0.0	0.0	0.0	telnet
524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	telnet
522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	telnet
39	3314	0	0	0.0	0.0	0.0	0.0	37	2458	37	2458	0.0	0.0	0.0	0.0	telnet
524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	telnet
39	3314	0	0	0.0	0.0	0.0	0.0	37	2458	37	2458	0.0	0.0	0.0	0.0	telnet
524	46043	74	6530	74.0	74.85714285714286	6530.0	6577.571428571428	522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
39	3314	0	0	0.0	0.0	0.0	0.0	37	2458	37	2458	0.0	0.0	0.0	0.0	telnet
628	55226	104	9183	104.0	78.5	9183.0	6903.25	522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
39	3314	0	0	0.0	0.0	0.0	0.0	37	2458	37	2458	0.0	0.0	0.0	0.0	telnet
628	55226	104	9183	104.0	78.5	9183.0	6903.25	522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
164	14308	125	10994	125.0	164.0	10994.0	14308.0	37	2458	37	2458	0.0	0.0	0.0	0.0	telnet
628	55226	104	9183	104.0	78.5	9183.0	6903.25	522	34468	74	4884	74.0	74.57142857142857	4884.0	4924.0	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
164	14308	125	10994	125.0	164.0	10994.0	14308.0	162	10708	125	8250	125.0	162.0	8250.0	10708.0	telnet
628	55226	104	9183	104.0	78.5	9183.0	6903.25	626	41332	104	6864	104.0	78.25	6864.0	5166.5	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
164	14308	125	10994	125.0	164.0	10994.0	14308.0	162	10708	125	8250	125.0	162.0	8250.0	10708.0	telnet
715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	626	41332	104	6864	104.0	78.25	6864.0	5166.5	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
164	14308	125	10994	125.0	164.0	10994.0	14308.0	162	10708	125	8250	125.0	162.0	8250.0	10708.0	telnet
715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	626	41332	104	6864	104.0	78.25	6864.0	5166.5	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
262	22945	98	8637	98.0	131.0	8637.0	11472.5	162	10708	125	8250	125.0	162.0	8250.0	10708.0	telnet
715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	626	41332	104	6864	104.0	78.25	6864.0	5166.5	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
262	22945	98	8637	98.0	131.0	8637.0	11472.5	260	17176	98	6468	98.0	130.0	6468.0	8588.0	telnet
715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	telnet
626	41332	104	6864	104.0	78.25	6864.0	5166.5	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
262	22945	98	8637	98.0	131.0	8637.0	11472.5	260	17176	98	6468	98.0	130.0	6468.0	8588.0	telnet
715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	telnet
713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	628	55226	104	9183	104.0	78.5	9183.0	6903.25	telnet
262	22945	98	8637	98.0	131.0	8637.0	11472.5	260	17176	98	6468	98.0	130.0	6468.0	8588.0	telnet
715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	telnet
713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	telnet
262	22945	98	8637	98.0	131.0	8637.0	11472.5	260	17176	98	6468	98.0	130.0	6468.0	8588.0	telnet
731	64227	16	1368	16.0	73.1	1368.0	6422.7	713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	telnet
713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	telnet
262	22945	98	8637	98.0	131.0	8637.0	11472.5	260	17176	98	6468	98.0	130.0	6468.0	8588.0	telnet
731	64227	16	1368	16.0	73.1	1368.0	6422.7	713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	telnet
713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	telnet
301	26386	39	3441	39.0	100.33333333333333	3441.0	8795.333333333334	260	17176	98	6468	98.0	130.0	6468.0	8588.0	telnet
731	64227	16	1368	16.0	73.1	1368.0	6422.7	713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	telnet
713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	telnet
301	26386	39	3441	39.0	100.33333333333333	3441.0	8795.333333333334	299	19750	39	2574	39.0	99.66666666666667	2574.0	6583.333333333333	telnet
731	64227	16	1368	16.0	73.1	1368.0	6422.7	729	48130	16	1056	16.0	72.9	1056.0	4813.0	telnet
713	47074	87	5742	87.0	79.22222222222223	5742.0	5230.444444444444	715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	telnet
301	26386	39	3441	39.0	100.33333333333333	3441.0	8795.333333333334	299	19750	39	2574	39.0	99.66666666666667	2574.0	6583.333333333333	telnet
731	64227	16	1368	16.0	73.1	1368.0	6422.7	729	48130	16	1056	16.0	72.9	1056.0	4813.0	telnet
729	48130	16	1056	16.0	72.9	1056.0	4813.0	715	62859	87	7633	87.0	79.44444444444444	7633.0	6984.333333333333	telnet
301	26386	39	3441	39.0	100.33333333333333	3441.0	8795.333333333334	299	19750	39	2574	39.0	99.66666666666667	2574.0	6583.333333333333	telnet
731	64227	16	1368	16.0	73.1	1368.0	6422.7	729	48130	16	1056	16.0	72.9	1056.0	4813.0	telnet
729	48130	16	1056	16.0	72.9	1056.0	4813.0	731	64227	16	1368	16.0	73.1	1368.0	6422.7	telnet
301	26386	39	3441	39.0	100.33333333333333	3441.0	8795.333333333334	299	19750	39	2574	39.0	99.66666666666667	2574.0	6583.333333333333	telnet
782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	729	48130	16	1056	16.0	72.9	1056.0	4813.0	telnet
729	48130	16	1056	16.0	72.9	1056.0	4813.0	731	64227	16	1368	16.0	73.1	1368.0	6422.7	telnet
301	26386	39	3441	39.0	100.33333333333333	3441.0	8795.333333333334	299	19750	39	2574	39.0	99.66666666666667	2574.0	6583.333333333333	telnet
782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	729	48130	16	1056	16.0	72.9	1056.0	4813.0	telnet
729	48130	16	1056	16.0	72.9	1056.0	4813.0	731	64227	16	1368	16.0	73.1	1368.0	6422.7	telnet
383	33598	82	7212	82.0	95.75	7212.0	8399.5	299	19750	39	2574	39.0	99.66666666666667	2574.0	6583.333333333333	telnet
782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	729	48130	16	1056	16.0	72.9	1056.0	4813.0	telnet
729	48130	16	1056	16.0	72.9	1056.0	4813.0	731	64227	16	1368	16.0	73.1	1368.0	6422.7	telnet
383	33598	82	7212	82.0	95.75	7212.0	8399.5	381	25162	82	5412	82.0	95.25	5412.0	6290.5	telnet
782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	telnet
729	48130	16	1056	16.0	72.9	1056.0	4813.0	731	64227	16	1368	16.0	73.1	1368.0	6422.7	telnet
383	33598	82	7212	82.0	95.75	7212.0	8399.5	381	25162	82	5412	82.0	95.25	5412.0	6290.5	telnet
782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	telnet
778	51394	49	3264	49.0	70.72727272727273	3264.0	4672.181818181818	731	64227	16	1368	16.0	73.1	1368.0	6422.7	telnet
