Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
622	85679	48	7584	48.0	155.5	7584.0	21419.75	334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	voice
505	65975	0	0	0.0	126.25	0.0	16493.75	328	22301	0	0	0.0	82.0	0.0	5575.25	voice
334	22713	0	0	0.0	111.33333333333333	0.0	7571.0	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
622	85679	48	7584	48.0	155.5	7584.0	21419.75	334	22713	0	0	0.0	83.5	0.0	5678.25	voice
505	65975	0	0	0.0	126.25	0.0	16493.75	328	22301	0	0	0.0	82.0	0.0	5575.25	voice
334	22713	0	0	0.0	83.5	0.0	5678.25	574	78095	49	7742	49.0	191.33333333333334	7742.0	26031.666666666668	voice
622	85679	48	7584	48.0	155.5	7584.0	21419.75	334	22713	0	0	0.0	83.5	0.0	5678.25	voice
505	65975	0	0	0.0	126.25	0.0	16493.75	328	22301	0	0	0.0	82.0	0.0	5575.25	voice
334	22713	0	0	0.0	83.5	0.0	5678.25	622	85679	48	7584	48.0	155.5	7584.0	21419.75	voice
622	85679	48	7584	48.0	155.5	7584.0	21419.75	334	22713	0	0	0.0	83.5	0.0	5678.25	voice
505	65975	0	0	0.0	126.25	0.0	16493.75	328	22301	0	0	0.0	82.0	0.0	5575.25	voice
334	22713	0	0	0.0	83.5	0.0	5678.25	622	85679	48	7584	48.0	155.5	7584.0	21419.75	voice
670	93263	48	7584	48.0	134.0	7584.0	18652.6	334	22713	0	0	0.0	83.5	0.0	5678.25	voice
505	65975	0	0	0.0	126.25	0.0	16493.75	328	22301	0	0	0.0	82.0	0.0	5575.25	voice
334	22713	0	0	0.0	83.5	0.0	5678.25	622	85679	48	7584	48.0	155.5	7584.0	21419.75	voice
670	93263	48	7584	48.0	134.0	7584.0	18652.6	334	22713	0	0	0.0	83.5	0.0	5678.25	voice
505	65975	0	0	0.0	101.0	0.0	13195.0	328	22301	0	0	0.0	82.0	0.0	5575.25	voice
334	22713	0	0	0.0	83.5	0.0	5678.25	622	85679	48	7584	48.0	155.5	7584.0	21419.75	voice
670	93263	48	7584	48.0	134.0	7584.0	18652.6	334	22713	0	0	0.0	83.5	0.0	5678.25	voice
505	65975	0	0	0.0	101.0	0.0	13195.0	328	22301	0	0	0.0	65.6	0.0	4460.2	voice
334	22713	0	0	0.0	83.5	0.0	5678.25	622	85679	48	7584	48.0	155.5	7584.0	21419.75	voice
670	93263	48	7584	48.0	134.0	7584.0	18652.6	334	22713	0	0	0.0	66.8	0.0	4542.6	voice
505	65975	0	0	0.0	101.0	0.0	13195.0	328	22301	0	0	0.0	65.6	0.0	4460.2	voice
334	22713	0	0	0.0	66.8	0.0	4542.6	622	85679	48	7584	48.0	155.5	7584.0	21419.75	voice
670	93263	48	7584	48.0	134.0	7584.0	18652.6	334	22713	0	0	0.0	66.8	0.0	4542.6	voice
505	65975	0	0	0.0	101.0	0.0	13195.0	328	22301	0	0	0.0	65.6	0.0	4460.2	voice
334	22713	0	0	0.0	66.8	0.0	4542.6	670	93263	48	7584	48.0	134.0	7584.0	18652.6	voice
670	93263	48	7584	48.0	134.0	7584.0	18652.6	334	22713	0	0	0.0	66.8	0.0	4542.6	voice
505	65975	0	0	0.0	101.0	0.0	13195.0	328	22301	0	0	0.0	65.6	0.0	4460.2	voice
334	22713	0	0	0.0	55.666666666666664	0.0	3785.5	670	93263	48	7584	48.0	134.0	7584.0	18652.6	voice
670	93263	48	7584	48.0	134.0	7584.0	18652.6	334	22713	0	0	0.0	66.8	0.0	4542.6	voice
505	65975	0	0	0.0	101.0	0.0	13195.0	328	22301	0	0	0.0	65.6	0.0	4460.2	voice
334	22713	0	0	0.0	55.666666666666664	0.0	3785.5	719	101005	49	7742	49.0	119.83333333333333	7742.0	16834.166666666668	voice
670	93263	48	7584	48.0	134.0	7584.0	18652.6	334	22713	0	0	0.0	66.8	0.0	4542.6	voice
