Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1399	0	0	0.0	1.25	0.0	174.875	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
10	1666	1	223	1.0	1.25	223.0	208.25	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1399	0	0	0.0	1.25	0.0	174.875	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1399	0	0	0.0	1.25	0.0	174.875	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.5	0.0	34.0	dns
11	1614	1	215	1.0	1.2222222222222223	215.0	179.33333333333334	4	272	0	0	0.0	0.5	0.0	34.0	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.5	0.0	34.0	dns
11	1614	1	215	1.0	1.2222222222222223	215.0	179.33333333333334	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1614	1	215	1.0	1.2222222222222223	215.0	179.33333333333334	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4	0.0	27.2	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1614	1	215	1.0	1.2222222222222223	215.0	179.33333333333334	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4	0.0	27.2	dns
10	1666	0	0	0.0	1.1111111111111112	0.0	185.11111111111111	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1614	1	215	1.0	1.2222222222222223	215.0	179.33333333333334	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1614	1	215	1.0	1.2222222222222223	215.0	179.33333333333334	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1614	0	0	0.0	1.1	0.0	161.4	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4444444444444444	0.0	30.22222222222222	dns
11	1614	0	0	0.0	1.1	0.0	161.4	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1943	1	277	1.0	1.1	277.0	194.3	4	272	0	0	0.0	0.4	0.0	27.2	dns
11	1614	0	0	0.0	1.1	0.0	161.4	4	272	0	0	0.0	0.4	0.0	27.2	dns
